name,alternativename,notes,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,exclude,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,
Entity,alternative name,story,YEAR,records lost,ORGANISATION,METHOD OF LEAK,interesting story,NO OF RECORDS STOLEN,DATA SENSITIVITY,UNUSED,UNUSED,Exclude,,1st source link,2nd source link,3rd source,source name,UNUSED,UNUSED,UNUSED,UNUSED,UNUSED,UNUSED,,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study
,,Elaboration if there's an interesting story or detail behind it,"years are encoded (0=2004, 8 = 2012, 9 = 2013, 10&11=2014, 12=latest)",context & leak size,,,,,1. Just email address/Online information 20 SSN/Personal details 300 Credit card information 4000 Email password/Health records 50000 Full bank account details,,,Show this item in the viz?,,,,,,,,,,,,,,,,,,,,,,
Anthem ,Second-largest health insurer in the US,"Feb 2015: Names, dates of birth, member ID/ social security numbers, addresses, phone numbers, email addresses and employment information.",2015,80000000,healthcare,hacked,y,80000000,20,,,,,http://www.anthemfacts.com/faq,,,,,,,,,,,,,,,,,,,,
Sony Pictures,,"Wide-ranging hack of potentially every piece of data held by the company, including: unreleased films & scripts, employee social security numbers, salaries and health check results, as well as sensitive internal business documents relating to lay-offs, restructures and executive salaries. Lead suspects are ""North Korean hackers"" perhaps related to the Seth Rogen film, ""The Interview"" which mocks the North Korean dictator, Kim Jong Un.",2014,100 terrabytes,media,hacked,,10000000,20,,,,,http://www.buzzfeed.com/tomgara/sony-hack,,,,,,,,,,,,,,,,,,,,
JP Morgan Chase,,"July 2014: The US's largest bank was compromised by hackers, stealing names, addresses, phone numbers and emails of account holders. The hack began in June but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege to dozens of the bank’s computer servers.",2014,76000000,financial,hacked,y,76000000,300,,,,,http://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_php=true&_type=blogs&_r=0,,,,,,,,,,,,,,,,,,,,
Gmail,,"5 million gmail account passwords leaked to a forum. Close inspection revealed the user details to be old (3+ years). Multiple individual targeted hacks, rather than one big dataleak, suspected to be the method. ",2014,"5,000,000",web,hacked,y,5000000,1,,,,,http://thenextweb.com/google/2014/09/10/4-93-million-gmail-usernames-passwords-published-google-says-evidence-systems-compromised/,,,,,,,,,,,,,,,,,,,,
Home Depot,,"Malware installed on cash register system across 2,200 stores syphoned credit card details of up to 56 million customers. May be the same group of Russian and Ukrainian hackers responsible for the data breaches at Target, Sally Beauty and P.F. Chang’s, among others",2014,"56,000,000",retail,hacked,y,56000000,300,,,,,http://krebsonsecurity.com/2014/09/banks-credit-card-breach-at-home-depot/,,,,,,,,,,,,,,,,,,,,
Mozilla,,,2014,"76,000",web,poor security,,760000,20,,,,,http://www.theguardian.com/technology/2014/aug/05/mozilla-leak-developer-email-addresses-passwords-firefox,,,,,,,,,,,,,,,,,,,,
Community Health Services,,"Aug 2014: Community Health Systems, which operates 206 hospitals across the US, had patient data from the last 5 years breached. Details included names, addresses, social security numbers. Suspected ""chinese hackers"" were thought responsible. Goal: identity theft.",2014,"4,500,000",healthcare,hacked,y,4500000,20,,,,,http://money.cnn.com/2014/08/18/technology/security/hospital-chs-hack/,,,,,,,,,,,,,,,,,,,,
New York Taxis,,"A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was incorrectly anonymised and relatively easy to decode, revealing the driver IDs, pickup & dropoff times, and GPS routes taken for every single cab journey.",2014,"52,000",transport,poor security,y,52000,1,,,,,https://medium.com/@vijayp/f6bc289679a1,,,,,,,,,,,,,,,,,,,,
Dominios Pizzas (France),,,2014,"600,000",web,hacked,,600000,1,,,,,http://www.theguardian.com/technology/2014/jun/16/dominos-pizza-ransom-hack-data,,,,,,,,,,,,,,,,,,,,
MacRumours.com,,,2014,"860,000",web,hacked,,860000,1,,,,,http://www.wired.co.uk/news/archive/2013-11/13/mac-rumours-forums-hacked,,,,,,,,,,,,,,,,,,,,
LexisNexis,,Hackers stole millions of social security numbers - including Michelle Obama's - from 3 large US data brokers,2014,"1,000,000",tech,hacked,,1000000,300,,,,,http://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/,http://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P03220130926,http://www.bbc.co.uk/news/technology-24284277,USA Today; Reuters; BBC News,,,,,,,,,,,,,,,,,
AOL,,,2014,"2,400,000",web,hacked,,24000000,1,,,,,http://blog.aol.com/2014/04/28/aol-security-update/,,,,,,,,,,,,,,,,,,,,
Korea Credit Bureau,,,2014,20000000,financial,inside job,,20000000,50000,,,,,http://www.securityweek.com/20-million-people-fall-victim-south-korea-data-leak,,,,,,,,,,,,,,,,,,,,
Target,,Investigators believe the data was obtained via software installed on machines that customers use to swipe magnetic strips on their cards when paying for merchandise at Target stores. Originally 40m customers. Now 70m!,2014,"70,000,000",retail,hacked,y,70000000,200,,,,,"http://www.chicagotribune.com/news/sns-rt-us-target-breach-20131218,0,3434295.story",http://www.huffingtonpost.com/2013/12/19/target-hacked-customer-credit-card-data-accessed_n_4471672.html?utm_hp_ref=mostpopular,http://techcrunch.com/2014/01/10/targets-data-breach-gets-worse-70-million-customers-had-info-stolen-including-names-emails-and-phones/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29&utm_content=Netvibes,ITRC,,,,,,,,,,,,,,,,,
Ebay,,The company has said hackers attacked between late February and early March with login credentials obtained from “a small number” of employees. They then accessed a database containing all user records and copied “a large part” of those credentials.,2014,"145,000,000",web,hacked,y,145000000,1,,,,,http://my.chicagotribune.com/#section/-1/article/p2p-80265168/,,,,,,,,,,,,,,,,,,,,
Adobe,,"Sep 17th 2013. Hackers obtained access to a large swathe of Adobe customer IDs and encrypted passwords & removed sensitive information (i.e. names, encrypted credit or debit card numbers, expiration dates, etc.). Approximately 38 million Adobe customers. Updated: Now 152m (May 2014)",2014,"152,000,000",tech,hacked,y,152000000,50000,,,,,http://www.theverge.com/2013/11/7/5078560/over-150-million-breached-records-from-adobe-hack-surface-online,http://www.zdnet.com/adobe-admits-2-9m-customer-accounts-have-been-compromised-7000021546/,http://krebsonsecurity.com/2013/10/adobe-breach-impacted-at-least-38-million-users/,,,,,,,,,,,,,,,,,,
Neiman Marcus,US retailer,,2014,"1,100,000",retail,hacked,,1100100,20,,,,,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,,,,,,,,,,,,,,,,,,,
European Central Bank,,,2014,"""unknown""",financial,hacked,,4000000,1,,,,,http://www.cityam.com/1406190300/ecb-website-hacked,,,,,,,,,,,,,,,,,,,,
UPS,,Malware was discovered in the credit & debit card processing systems at 51 branches in 24 states.,2014,"""unknown""",retail,hacked,,4000000,300,,,,,http://time.com/3151681/ups-hack/,,,,,,,,,,,,,,,,,,,,
NASDAQ,Nasdaq OMX Group,"Nasdaq forum website hacked by hacking ring, email addresses and passwords compromised",2014,unknown,financial,hacked,y,500000,1,,,,,http://www.reuters.com/article/2013/07/18/net-us-nasdaq-cybercrime-website-idUSBRE96H1F520130718,,,,,,,,,,,,,,,,,,,,
Advocate Medical Group,,"4,000,000 patient names, addresses, dates of birth, and Social Security numbers were contained in four computers stolen from an administrative building. Second biggest security breach ever reported to the Department of Health and Human Services (HHS).",2013,"4,000,000",healthcare,lost / stolen media,y,"4,000,000",20,,,,,http://healthitsecurity.com/2013/08/27/advocate-medical-group-endures-massive-data-breach/,http://datalossdb.org/latest_incidents_remote_sync,,,,,,,,,,,,,,,,,,,
SnapChat,,"31st Dec 2013. Hackers abused an exploit to syphon 4.7m user details, including phone numbers.  Check here to see if your account was compromised: http://lookup.gibsonsec.org/",2013,"4,700,000","web, tech",hacked,,4700000,20,,,,,http://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/,,,,,,,,,,,,,,,,,,,,
South Africa police,South Africa Police Service's anonymous whistleblowing website,"Hacker collective 'Anonymous' hacked an anonymous whistleblowing website run by the South Africa Police Service (SAPS), revealing the identities of thousands of its users. The hack was in response to the massacre of 34 protesting miners at Marikana in August 2012.",2013,"16,000",government,hacked ,y,16000,20,,,,,http://www.wired.co.uk/news/archive/2013-05/22/south-africa-whistleblower-leak,,,Wired,,,,,,,,,,,,,,,,,
"Crescent Health Inc., Walgreens",,"Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed via a laptop theft.",2013,"100,000",healthcare,lost / stolen computer,,100000,4000,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
Florida Courts,Florida Department of Juvenile Justice,,2013,"100,000",government,lost / stolen computer,,100000,20,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
Florida Department of Juvenile Justice,,"Three computers were stolen that contained both youth and employee records was reported stolen on January 2, 2013.  Over 100,000 records were on the device and may have been exposed.",2013,"100,000",government,lost / stolen computer,,"100,000",20,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
Central Hudson Gas & Electric,,Customer banking information and other personal information may have been accessed during the hack.,2013,"110,000",energy,hacked,,110000,300,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
Kirkwood Community College,Hacked online database,,2013,"125,000",academic,hacked,,125000,20,,,,,http://www.privacyrights.org/data-breach,http://www.databreachwatch.org/community-college-data-breach-leaks-125000-ssns/,,Privacy Rights,,,,,,,,,,,,,,,,,
Citigroup,,"Third big data breach from Citigroup.""The personal information of 150,000 consumers who went into bankruptcy between 2007 and 2011 – including their social security numbers – were exposed after Citi failed to properly redact court records before they were put on the Public Access to Court Electronic Records (PACER) system.""",2013,"150,000",financial,poor security,y,"150,000",20,,,,,http://news.softpedia.com/news/Citi-Exposes-Details-of-150-000-Individuals-Who-Went-into-Bankruptcy-369979.shtml,,,,,,,,,,,,,,,,,,,,
Washington State court system,Administrative offices,"Up to 160,000 Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting old versions of Adobe Cold Fusion software on the server. ",2013,"160,000",government,hacked,,160000,20,,,,,http://www.reuters.com/article/2013/05/09/us-usa-hack-washingtonstate-idUSBRE9480YY20130509,http://www.privacyrights.org/data-breach,,Reuters; Privacy Rights,,,,,,,,,,,,,,,,,
TerraCom & YourTel,,"The telecom firms TerraCom and YourTel have branded reporters for Scripps News as ""hackers"" after journalists discovered that the personal data of over 170,000 customers - including social security numbers and other identifying data that could be used for identity theft - were sitting on a publicly accessible server.",2013,"170,000",telecoms,accidentally published,y,170000,20,,,,,http://boingboing.net/2013/05/23/terracom-and-yourtel-threaten.html,http://www.wired.co.uk/news/archive/2013-05/23/reporter-google-breach-hacker,,Boing Boing; Wired,,,,,,,,,,,,,,,,,
Nintendo,Japan's Club Nintendo service,"Japan's Club Nintendo service was hacked following thousands of unauthorized accesses. Customer information compromised in the attack includes full names, phone numbers, home and email addresses.",2013,"240,000",gaming,hacked,,239326,20,,,,,http://www.joystiq.com/2013/07/05/club-nintendo-japan-hacked/,,,,,,,,,,,,,,,,,,,,
Twitter,,"Hackers had access to limited user information -- usernames, email addresses, session tokens and encrypted/salted versions of passwords -- for approximately 250,000 users.",2013,"250,000",web,hacked ,,250000,1,,,,,http://www.wired.co.uk/news/archive/2013-02/02/twitter-hacked,,,Wired,,,,,,,,,,,,,,,,,
Apple,,"Developer portal hacked. ""Some"" information about 275,000 3rd-party developers potentially stolen.",2013,"275,000",tech,hacked,,275000,1,,,,,http://www.guardian.co.uk/technology/2013/jul/22/apple-developer-site-hacked,,,,,,,,,,,,,,,,,,,,
Scribd,"""world's largest online library"" ",Hack resulted in a few hundred thousand stolen passwords.,2013,"500,000",web,hacked,,500000,1,,,,,http://nakedsecurity.sophos.com/2013/04/05/scribd-worlds-largest-online-library-admits-to-network-intrusion-password-breach/,http://www.nbcnews.com/technology/scribd-hack-exposes-thousands-users-1B9239618,,Naked Security; NBC News,,,,,,,,,,,,,,,,,
Drupal,open-source content management platform,"Malicious files placed on association.drupal.org servers via a 3rd-party application. Exposed usernames, e-mail addresses, country information, and cryptographically hashed passwords.",2013,"1,000,000",web,hacked,,1000000,1,,,,,http://arstechnica.com/security/2013/05/drupal-org-resets-login-credentials-after-hack-exposes-password-data/,,,Ars Technica,,,,,,,,,,,,,,,,,
Dun & Bradstreet,,Hackers stole millions of social security numbers - including Michelle Obama's - from 3 large US data brokers,2013,"1,000,000",tech,hacked,,1000000,300,,,,,http://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/,http://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P03220130926,http://www.bbc.co.uk/news/technology-24284277,USA Today; Reuters; BBC News,,,,,,,,,,,,,,,,,
Kroll Background America,,Hackers stole millions of social security numbers - including Michelle Obama's - from 3 large US data brokers,2013,"1,000,000",tech,hacked,,1000000,300,,,,,http://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/,http://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P03220130926,http://www.bbc.co.uk/news/technology-24284277,USA Today; Reuters; BBC News,,,,,,,,,,,,,,,,,
Kissinger Cables,"More than 1.7 million US diplomatic records for the period 1973 to 1976, including intelligence reports and congressional correspondence.",Wikileaks,2013,"1,700,000",government,inside job,,1700000,300,,,,,https://www.wikileaks.org/plusd/about/,,,,,,,,,,,,,,,,,,,,
Ubuntu,"The discussion forum for the popular alternative, open-source operating system",July 2013: Discussion forum for the operating system was compromised leaking personal details and password. The passwords were cryptographically scrambled using the MD5 hashing algorithm - considered an inadequate means of protecting stored passwords by security experts.,2013,"2,000,000",tech,hacked,y,2000000,300,,,,,http://arstechnica.com/security/2013/07/hack-exposes-e-mail-addresses-password-data-for-2-million-ubuntu-forum-users/,,,Data Loss Database,,,,,,,,,,,,,,,,,
Vodafone,,An IT contractor for the firm used his deep access to the telecom giant's system to copy customer names and bank account details.,2013,"2,000,000",telecoms,inside job,y,2000000,300,,,,,http://www.securityweek.com/attacker-steals-data-2-million-vodafone-germany-customers,,,Security Week,,,,,,,,,,,,,,,,,
Facebook,,"Using the network's ""Download Your Information"" tool, some Facebook members were inadvertently sent the phone numbers or email address of Facebook friends that were otherwise private. Facebook assured users that the bug was fixed within a day, and that there is no evidence that the information was used maliciously.",2013,"6,000,000",web,accidentally published,,6000000,1,,,,,https://www.facebook.com/notes/facebook-security/important-message-from-facebooks-white-hat-program/10151437074840766,,,,,,,,,,,,,,,,,,,,
Yahoo Japan,,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its web portal Yahoo Japan. The leaked information did not include passwords and data necessary for identity verification to reset passwords.,2013,"22,000,000","tech, web",hacked,,22000000,1,,,,,http://www.reuters.com/article/2013/05/17/us-yahoojapan-idUSBRE94G0P620130517,,,Reuters,,,,,,,,,,,,,,,,,
Evernote,online note-taking site,"Evernote asked its 50 million users to reset their passwords following an attempt to hack the note-taking network. The company said it’d found no evidence that any payment information for Evernote Premium or Evernote Business customers had been accessed, nor was there any indication that content stored by users had been accessed, changed or lost.",2013,"50,000,000",web,hacked,,50000000,1,,,,,http://www.wired.co.uk/news/archive/2013-03/04/evernote-hacked,http://www.digitaltrends.com/mobile/evernote-hack-50-million-users-forced-to-reset-passwords/,,Wired; Digital Trends,,,,,,,,,,,,,,,,,
Living Social,special offers website,"Online criminals gained access to user names, e-mail addresses, dates of birth & encrypted passwords for 50 million people. Databases storing financial information were not compromised in the attack, the company said.",2013,"50,000,000",web,hacked,,50000000,4000,,,,,http://nakedsecurity.sophos.com/2013/04/27/livingsocial-hacked-50-million-affected/,http://bits.blogs.nytimes.com/2013/04/26/living-social-hack-exposes-data-for-50-million-customers/,,Naked Security; New York Times,,,,,,,,,,,,,,,,,
UbiSoft,games company,,2013,"""unknown""",gaming,hacked,,58000000,20,,,,,http://forums.ubi.com/forumdisplay.php/495-Security-update-regarding-your-Ubisoft-account-please-create-a-new-password,,,,,,,,,,,,,,,,,,,,
OVH,French Internet host,,2013,undisclosed,web,hacked,,500000,20,,,,,http://status.ovh.net/?do=details&id=5070,,,,,,,,,,,,,,,,,,,,
Militarysingles.com,"Online dating network for, you guessed it, military singles","Collective group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.",2012,"163,792","web, military",accidentally published,,163792,4000,,,,,http://www.pcworld.com/article/252647/reborn_lulzsec_claims_hack_of_dating_site_for_military_personnel.html,,,PC World,,,,,,,,,,,,,,,,,
Emory Healthcare,hospital system in Atlanta,,2012,"315,000",healthcare,poor security,,315000,4000,,,,,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,,
Formspring, Interest-based social Q&A website,"Formspring was tipped off to a breach after 420,000 hashed passwords were posted to a security forum. ",2012,"420,000",web,accidentally published,y,420000,4000,,,,,http://news.cnet.com/8301-1009_3-57469944-83/formspring-disables-user-passwords-in-security-breach/?tag=mncol;txt,,,,,,,,,,,,,,,,,,,,
Yahoo Voices,,"Yahoo Voices service was hacked, exposing more than 450,000 usernames and passwords.",2012,"450,000","tech, web",hacked,,450000,1,,,,,http://it.slashdot.org/story/12/07/12/1243217/nearly-half-a-million-yahoo-passwords-leaked-updated?utm_source=feedburnerGoogle+Reader&utm_medium=feed&utm_campaign=Feed%3A+Slashdot%2Fslashdot+%28Slashdot%29&utm_content=Google+Reader,http://www.pbs.org/newshour/rundown/2012/07/check-whether-your-yahoo-password-was-hacked.html,,Slashdot,,,,,,,,,,,,,,,,,
Medicaid,US health program for low income people and families,"The Utah Department of Technology Services had recently moved their claims records to a new server, and hackers believed to be operating out of Eastern Europe were able to circumvent the server’s multi-layered security system containing Social Security numbers for the Medicaid claims.",2012,"780,000","government, healthcare",hacked,y,780000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
California Department of Child Support Services,,California child support records were lost in transit during a disaster preparedness exercise.,2012,"800,000",government,lost / stolen media ,,800000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://articles.businessinsider.com/2012-04-03/news/31279254_1_major-data-breach-identity-theft-office-of-privacy-protection,,ITRC,,,,,,,,,,,,,,,,,
New York State Electric & Gas,,An employee from a software consulting firm was allowed unauthorized access to the company’s databases.,2012,"1,800,000",energy,inside job,,1800000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Three Iranian banks,"Saderat, Eghtesad Novin, & Saman","After finding a security vulnerability in Iran's banking system, software manager Khosrow Zarefarid
 wrote a formal report and sent it to the CEOs of all the affected banks across the country. When the banks ignored his findings, he hacked 3 million bank accounts, belonging to at least 22 different banks, to prove his point.",2012,"3,000,000",financial,hacked,y,3000000,50000,,,,,http://www.zdnet.com/blog/security/3-million-bank-accounts-hacked-in-iran/11577,,,ZD Net,,,,,,,,,,,,,,,,,
South Carolina Government,South Carolina Department of Health and Human Services,"A man was charged with five counts of violating medical confidentiality laws and one count of disclosure of confidential information after he gained access to personal information for more than 228,000 Medicaid beneficiaries.",2012,"6,400,000",healthcare,inside job,,"228,435",4000,,,,,http://www.thestate.com/2012/04/20/2241321/personal-information-of-more-than.html#.UFpUVqRYtmg,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Office of the Texas Attorney General,The office of Texas Attorney General Greg Abbott mistakenly gave attorneys access to millions of Social Security numbers in a case against the state’s voter ID law,,2012,"6,500,000",government,accidentally published,,6500000,20,,,,,http://www.rawstory.com/rs/2012/04/26/texas-attorney-general-exposes-millions-of-voters-social-security-numbers/,,,,,,,,,,,,,,,,,,,,
